acpi 1.7-3
acpid 2.0.33-1
acroread-fonts-systemwide 1:DC_2020.012.20041-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 41.0-1
adwaita-maia 20210426-2
alacarte 3.36.0+2+gae6b92d-2
alsa-firmware 1.2.4-2
alsa-utils 1.2.5.1-1
amd-ucode 20211027.1d00989-1
ant 1.10.11-1
apparmor 3.0.3-1
avahi 0.8+22+gfd482a7-1
b43-fwcutter 019-3
baobab 41.0-1
bind 9.16.22-1
blueman 2.2.3-1
bmenu 0.17-3
brightnessctl 0.5.1-2
bspwm 0.9.10-1
bspwm-wallpapers 20180522-2
btrfs-progs 5.15-1
btrfsmaintenance 0.5.r0.gbe42cb6-1
bzip2 1.0.8-4
caffeine-ng 3.5.1+27+g1e5febf-1
clipmenu 6.2.0-2
coreutils 9.0-2
cpupower 5.15-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.1-3
dconf-editor 3.38.3-1
deja-dup 42.8-1
device-mapper 2.03.14-1
dex 0.9.0-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.8-1
discord 0.0.16-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
docker 1:20.10.10-1
dosfstools 4.2-1
dunst 1.7.1-1
e2fsprogs 1.46.4-1
ecryptfs-utils 111-5
efibootmgr 17-2
escrotum-git 0.2.1.r48.a41d0f1-1
evince 41.2-1
evolution-data-server 3.42.1-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-3
feh 3.7.2-1
ffmpegthumbnailer 2.2.2-2
file-roller 3.40.0-1
firefox 95.0-0.1
firefox-gnome-theme-maia 20210918-1
fortune-mod 3.6.1-1
fortune-mod-breakingbad 1611152221-1
fortune-mod-hitchhiker 20050611-3
fortune-mod-matrix 20160822-2
fortune-mod-mynameisearl 1505221559-1
fortune-mod-protolol-git 9f59ff8-2
fortune-mod-thebigbangtheory 1603122342-1
fprintd 1.94.1-1
fragments 1.5-1
fzf-extras 0.3.1-1
gdm-plymouth 41.0+r15+g23ebe617-1
geary 1:40.0-4
gedit 40.1-1
gimp 2.10.28-1
gitg 1:3.32.1+17+gb4c8155f-2
gitstats-git 294.55c5c28-1
glibc-locales 2.33-1
gnome-backgrounds 41.0-1
gnome-calculator 41.0-1
gnome-calendar 41.1-1
gnome-characters 41.0-1
gnome-clocks 41.0-1
gnome-contacts 41.0-2
gnome-control-center 41.1-1.1
gnome-desktop 1:41.1-1
gnome-disk-utility 41.0-1
gnome-firmware 3.36.0-2
gnome-font-viewer 41.0-1
gnome-keyring 1:40.0-1
gnome-layout-switcher 0.8.22-4
gnome-maps 41.1-2
gnome-online-accounts 3.40.1-1
gnome-screenshot 41.0-1
gnome-session 40.1.1-1
gnome-settings-daemon 41.0-1
gnome-shell 1:41.1-1
gnome-shell-extension-gnome-ui-tune 1.5.0-1
gnome-shell-extension-gsconnect 48-1
